member_id,score_robust_z,flag_robust_z,score_isolation_forest,flag_isolation_forest,score_lof,flag_lof,anomaly_votes,ensemble_score,is_anomaly,amount_missing,is_above_benchmark,is_below_benchmark,paise_component,deviation_from_benchmark_pct,benchmark_amount,state_deviation_pct,anomaly_reasons
1,0.2399,True,0.4586,False,0.0002,False,1,0.2329,False,False,True,False,0.0,29.448600000000003,147000000.0,0.294486,['Allocation is 29% above the ₹14.7 cr full-entitlement benchmark']
2,0.0,False,0.0435,False,0.0009,False,0,0.0148,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
3,0.0,False,0.0,False,0.0,False,0,0.0,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
4,0.0,False,0.0001,False,0.0,False,0,0.0,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
5,0.0,False,0.0394,False,0.0,False,0,0.0132,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
6,0.0,False,0.0001,False,0.0,False,0,0.0,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
7,0.0,False,0.001,False,0.0,False,0,0.0004,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
8,0.0,False,0.0552,False,0.0006,False,0,0.0186,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
9,0.0,False,0.0552,False,0.0006,False,0,0.0186,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
10,0.0045,True,0.3496,False,0.0074,False,1,0.1205,False,False,True,False,11.0,0.5553123197278964,147000000.0,0.005553123197279009,['Non-round allocation (₹11.00 paise component) suggests interest-bearing balance accrual']
11,0.2312,True,0.5615,True,0.0002,False,2,0.2643,True,False,True,False,11.0,28.382487149659873,147000000.0,0.28382487149659874,"['Allocation is 28% above the ₹14.7 cr full-entitlement benchmark', 'Non-round allocation (₹11.00 paise component) suggests interest-bearing balance accrual', '2/3 anomaly methods agree (ensemble score 0.26)']"
12,0.4073,True,0.6744,True,0.0005,False,2,0.3607,True,False,True,False,0.0,50.0,147000000.0,0.5,"['Allocation is 50% above the ₹14.7 cr full-entitlement benchmark', '2/3 anomaly methods agree (ensemble score 0.36)']"
13,0.0,False,0.0435,False,0.0009,False,0,0.0148,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
14,0.0,False,0.0933,False,0.0007,False,0,0.0313,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
15,0.0,False,0.0404,False,0.0,False,0,0.0135,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
16,0.0,False,0.0933,False,0.0007,False,0,0.0313,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
17,0.0,False,0.001,False,0.0,False,0,0.0004,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
18,0.0,False,0.001,False,0.0,False,0,0.0004,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
19,0.0,False,0.001,False,0.0,False,0,0.0004,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
20,0.0,False,0.0836,False,0.0014,False,0,0.0284,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
21,0.0,False,0.0404,False,0.0,False,0,0.0135,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
22,0.0,False,0.0135,False,0.0002,False,0,0.0046,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
23,0.0,False,0.0041,False,0.0,False,0,0.0014,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
24,0.0,False,0.0242,False,0.0006,False,0,0.0083,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
25,0.3042,True,0.5084,False,0.0002,False,1,0.2709,False,False,True,False,11.0,37.34630211564627,147000000.0,0.2906650156307791,"['Allocation is 37% above the ₹14.7 cr full-entitlement benchmark', 'Non-round allocation (₹11.00 paise component) suggests interest-bearing balance accrual']"
26,0.0,False,0.0476,False,0.0,False,0,0.0159,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
27,0.1036,True,0.3034,False,0.0001,False,1,0.1357,False,False,True,False,11.0,12.715336129251709,147000000.0,0.12715336129251711,['Non-round allocation (₹11.00 paise component) suggests interest-bearing balance accrual']
28,0.0,False,0.0042,False,0.0001,False,0,0.0014,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
29,0.0,False,0.001,False,0.0,False,0,0.0004,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
30,0.0,False,0.001,False,0.0,False,0,0.0004,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
31,0.0,False,0.0381,False,0.0003,False,0,0.0128,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
32,0.0,False,0.099,False,0.0005,False,0,0.0332,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
33,0.2715,True,0.7156,True,0.4992,True,3,0.4954,True,False,False,True,0.0,-33.333333333333336,147000000.0,-0.2,"['Allocation is 33% below the full-entitlement benchmark (possible pro-rated term — verify membership dates)', '3/3 anomaly methods agree (ensemble score 0.50)']"
34,0.0,False,0.0836,False,0.0014,False,0,0.0284,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
35,0.0,False,0.0435,False,0.0009,False,0,0.0148,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
36,0.0,False,0.0041,False,0.0,False,0,0.0014,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
37,0.0,False,0.0135,False,0.0002,False,0,0.0046,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
38,0.0,False,0.0381,False,0.0003,False,0,0.0128,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
39,0.109,True,0.5321,False,0.0001,False,1,0.2137,False,False,True,False,80.0,13.378184897959189,147000000.0,0.13378184897959192,['Non-round allocation (₹80.00 paise component) suggests interest-bearing balance accrual']
40,0.0,False,0.001,False,0.0,False,0,0.0004,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
41,0.0,False,0.0493,False,0.0001,False,0,0.0165,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
42,0.0,False,0.0041,False,0.0,False,0,0.0014,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
43,0.0,False,0.0453,False,0.0,False,0,0.0151,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
44,0.0142,True,0.34,False,0.0508,True,2,0.135,True,False,True,False,11.0,1.748378986394572,147000000.0,-0.013175160233228893,"['Non-round allocation (₹11.00 paise component) suggests interest-bearing balance accrual', '2/3 anomaly methods agree (ensemble score 0.14)']"
45,0.0,False,0.2322,False,0.1225,True,1,0.1182,False,False,False,False,0.0,0.0,147000000.0,-0.060284117045952365,[]
46,0.2655,True,0.4627,False,0.0002,False,1,0.2428,False,False,True,False,11.0,32.60178306802721,147000000.0,0.3260178306802722,"['Allocation is 33% above the ₹14.7 cr full-entitlement benchmark', 'Non-round allocation (₹11.00 paise component) suggests interest-bearing balance accrual']"
47,0.0,False,0.001,False,0.0,False,0,0.0004,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
48,0.0,False,0.0708,False,0.0005,False,0,0.0238,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
49,0.0,False,0.0228,False,0.0003,False,0,0.0077,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
50,0.0,False,0.0001,False,0.0,False,0,0.0,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
51,0.7447,True,0.8937,True,0.0013,False,2,0.5466,True,False,True,False,11.0,91.42609191156464,147000000.0,0.9142609191156463,"['Allocation is 91% above the ₹14.7 cr full-entitlement benchmark', 'Non-round allocation (₹11.00 paise component) suggests interest-bearing balance accrual', '2/3 anomaly methods agree (ensemble score 0.55)']"
52,0.0,False,0.0476,False,0.0,False,0,0.0159,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
53,0.0,False,0.0629,False,0.0001,False,0,0.021,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
54,0.0,False,0.0135,False,0.0002,False,0,0.0046,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
55,0.0,False,0.0453,False,0.0,False,0,0.0151,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
56,0.0,False,0.0404,False,0.0,False,0,0.0135,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
57,0.7131,True,0.9077,True,0.0013,False,2,0.5407,True,False,True,False,74.0,87.5472494829932,147000000.0,0.8754724948299321,"['Allocation is 88% above the ₹14.7 cr full-entitlement benchmark', 'Non-round allocation (₹74.00 paise component) suggests interest-bearing balance accrual', '2/3 anomaly methods agree (ensemble score 0.54)']"
58,0.0462,True,0.2785,False,0.0002,False,1,0.1083,False,False,True,False,0.0,5.67106802721089,147000000.0,0.05671068027210884,[]
59,0.0,False,0.0381,False,0.0003,False,0,0.0128,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
60,0.0,False,0.001,False,0.0,False,0,0.0004,False,False,False,False,0.0,0.0,147000000.0,0.0,[]
